CE27,Che-27,L
CE43,CE-43 Guepard,L
CEGL,Eagle 300,L
CELR,Celerity,L
CENT,100 Centennial,L
CFRE,Freedom,L
CG3,G-3 Replica,L
CGAN,Gannet,L
CH1,A-CH-1 Chung-Tsing,L
CH10,CH-100 Mono-Z,L
CH15,CH-150 Acro-Z,L
CH18,CH-180 Super Acro-Z,L
CH20,CH-200 Zénith,L
CH25,CH-250 Zénith,L
CH2T,CH-2000 Zénith,L
CH30,CH-300 Tri-Z,L
CH40,402 Lancer,L
CH50,CH-50 Mini-Z,L
CH60,CH-600 Zodiac,L
CH62,CH-620 Gemini,L
CH64,CH-640 Zodiac,L
CH7,CH-7 Kompress,L
CH70,CH-701 Stol,L
CH7A,Champ,L
CH7B,Citabria (7GCBC/7KCAB),L
CH80,CH-801 Stol,L
CHAN,Chanute,L
CHCS,Choucas,L
CHGO,CHK-91 Chang-Gong 91,L
CHIF,Chief,L
CHIN,Chinook,L
CHIP,Super-Chipmunk,L
CHR1,CA-05 Christavia Mk1,L
CHR4,CH-8 Christavia Mk4,L
CHSY,Sycamore,L
CICA,Cicada,L
CJ1,CJ-1 Starlet,L
CJ6,CJ-6,L
CKUO,F-CK-1 Ching-Kuo,M
CL2P,CL-215,M
CL2T,CL-415,M
CL30,BD-100 Challenger 300,M
CL41,Tutor,L
CL44,CL-44 Forty Four,M
CL4G,CL-44-O Guppy,M
CL60,Challenger 600,M
CL8,CL-8 RSA Club,L
CLA,A-2,L
CLB1,B-1 Ag Commander,L
CLBR,Celebrity,L
CMA3,Martin 3,L
CMAS,Airmaster,L
CMD1,Commander 147,L
CMDE,Commander Elite Side-by-Side,L
CMDT,Commander Elite Tandem,L
CN12,Nieuport 12-7/8,L
CN35,CN-235 Persuader,M
CNBR,Canberra,M
CNDR,F-20TP Condor,L
CNGP,NGP,L
CNUK,80 Canuck,L
COAR,Arrow,L
COBR,Cobra,L
COL3,Columbia 350,L
COL4,Columbia 400,L
COMU,H-1 Commuter,L
CONI,Constellation,M
COOT,Coot,L
CORO,Corone,L
CORR,SD-27 Corriedale,L
CORS,F4U Corsair,M
COUG,Cougar,L
COUR,Courier,L
COY2,S-6 Coyote 2,L
COZY,Cozy,L
CP10,CAP-10,L
CP13,Super Emeraude,L
CP20,CAP-20,L
CP21,CAP-21,L
CP22,CAP-222,L
CP23,CAP-230,L
CP30,CP-30 Emeraude,L
CP32,Super Emeraude (CP-320/325/328),L
CP60,Diamant,L
CP65,CP-65 Collegiate,L
CP75,CP-750 Béryl,L
CP80,CP-80 Zéphir,L
CP90,CP-90 Pinocchio,L
CPNA,Capena,L
CPUP,Sopwith Pup,L
CR10,CR-100,L
CRA1,A-1 Eagle,L
CRAC,CJ-3 Cracker Jack,L
CRER,S-7 Courier,L
CRES,Cresco,L
CRIO,Corsario,L
CRJ1,CL-600 Regional Jet CRJ-100,M
CRJ2,CL-600 Challenger 800,M
CRJ7,CL-600 Regional Jet CRJ-700,M
CRJ9,CL-600 Regional Jet CRJ-900,M
CRJX,CL-600 Regional Jet CRJ-1000,M
CRUZ,SportCruiser,L
CT4,CT-4 Airtrainer,L
CTAH,Cheetah,L
CUB2,Cuby 2,L
CUCA,Cadet,L
CULP,Special,L
CULV,V,L
CULX,Culex,L
CVLP,Metropolitan,M
CVLT,CV-600,M
CYCL,Skycycle,L
CYGT,Cygnet Replica,L
D1,New Derringer,L
D11,D-11,L
D139,Blue Bird,L
D140,D-140 Abeille,L
D150,D-150 Mascaret,L
D18,D-18,L
D201,D-201 Sportwing,L
D228,228,L
D25,D-25,L
D250,DR-250 Capitaine,L
D253,DR-253 Regent,L
D28D,Do-28D Skyservant,L
D28T,Do-28D-6 Turbo Skyservant,L
D31,D-31 Turbulent,L
D328,328,M
D39,D-39,L
D4,D-4,L
D5,D-5 Husky,L
D5TU,D-5 Turbi,L
D6,D-6,L
D6CR,Condor,L
D7,D-7 Replica,L
D8,D-8 Replica,L
DA2,DA-2,L
DA40,DA-40 Katana,L
DA42,DA-42 Twin Star,L
DA5,DA-5,L
DA50,DA-50 SuperStar,L
DAHU,Dahu,L
DAKH,Dakota Hawk,L
DAL1,DAL-1 Tuholer,L
DAL4,D-4 Fascination,L
DAL5,D-5 Evolution,L
DART,Dart,L
DC10,DC-10,H
DC2,DC-2,M
DC3,DC-3,M
DC3S,Super DC-3,M
DC3T,DC-3 (turbine),M
DC4,DC-4,M
DC6,DC-6,M
DC7,DC-7 Seven Seas,M
DC85,DC-8-50 Jet Trader,H
DC86,DC-8-60,H
DC87,DC-8-70,H
DC91,DC-9-10,M
DC92,DC-9-20,M
DC93,DC-9-30,M
DC94,DC-9-40,M
DC95,DC-9-50,M
DEAG,Double Eagle,L
